,ALink,SName,Lyric
18644,/bob-dylan/,Too Late,"Well, whether there was a murder, I don't know, I wasn't there
I was busy visiting a friend in jail
There were just two women on the scene at the time
Neither one of 'em saw a thing, both of 'em were wearing veils
They said it was a natural situation
He reached too high and tumbled back to the ground
You know what they say about being nice to people on your way up
""You might meet 'em again on your way back down""

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back

He had a brother named Paul hang out at the cafe royal
Where Miss Dolly plays and the reviews have been mixed
Well, he's pretty to look at looking for someone to throw the book at
But you know that he drinks and drinks, can't be fixed
Sing me one more song about your summer romance, I know
You don't know ""Motherless Children""
sing me the one about you and Errol Flynn
In these times of compassion where conformity's a fashion
Say one more stupid thing to me before the final nail is driven in

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back

Dr. Silver Spoon from the empress ballroom
He's a retired businessman who feeds off everyone he's touched
Gives money to the church and foundations for research
He's not someone you can play around with too much
But then there's Rosetta Blake who's been to both sides of the lake
She's rough to look at but she's righteously fit
She'll feed you coconut bread and spiced buns in bed
You won't have to worry 'bout sleeping face down
with your head in the plate

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back

You'll arrange to see your man tonight
Who tells you some secret things you think might open some doors
How to enter the gates of paradise, no not really
More like how to go crazy from carrying a burden
that's never meant to be yours
From the stage they'll be doing the bumps and the grinds
A whore will pass the hat, collect a hundred grand and say thanks
They like to take all this money from sin
and build big universities to study in
And sing Amazing Grace all the way to the Swiss Bank

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back

They got some serious people out there, man
They can ring your bell and show you how to hold your tongue
They don't come to party, man
They kill babies in the crib and say only the good die young
They don't believe in mercy
And judgment on them is something you'll never see
They can put your face on a postage stamp
Turn your home into an armed camp anyway they want you
That's the way you'll be

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back

Yes, I loved him too
I still see him in my mind climbing up that hill
Or was it a wall, I don't recall
It don't matter at all and it never will
Ain't nothing left here partner
Just the dust of fools that have left their mark in spades
From now on this will be where you're from
Let the dead bury the dead, your time will come
Feel that hot iron glowing now as you raise the shades

But it's too late to bring him back
Too late, too late, too late, too late, too late to bring him back"
18645,/bob-dylan/,License to Kill,"Man thinks 'cause he rules the earth he can do with it as he please
And if things don't change soon, he will.
Oh, man has invented his doom,
First step was touching the moon.

Now, there's a woman on my block,
She just sit there as the night grows still.
She say who gonna take away his license to kill?

Now, they take him and they teach him and they groom him for life
And they set him on a path where he's bound to get ill,
Then they bury him with stars,
Sell his body like they do used cars.

Now, there's a woman on my block,
She just sit there facin' the hill.
She say who gonna take away his license to kill?

Now, he's hell-bent for destruction, he's afraid and confused,
And his brain has been mismanaged with great skill.
All he believes are his eyes
And his eyes, they just tell him lies.

But there's a woman on my block,
Sitting there in a cold chill.
She say who gonna take away his license to kill?

Ya may be a noisemaker, spirit maker,
Heartbreaker, backbreaker,
Leave no stone unturned.
May be an actor in a plot,
That might be all that you got
'Til your error you clearly learn.

Now he worships at an altar of a stagnant pool
And when he sees his reflection, he's fulfilled.
Oh, man is opposed to fair play,
He wants it all and he wants it his way.

Now, there's a woman on my block,
She just sit there as the night grows still.
She say who gonna take away his license to kill?
"
18646,/bob-dylan/,"It's All Over Now, Baby Blue","You must leave now, take what you need, you think will last.
But whatever you wish to keep, you better grab it fast.
Yonder stands your orphan with his gun,
Crying like a fire in the sun.
Look out the saints are comin' through
And it's all over now, Baby Blue.

The highway is for gamblers, better use your sense.
Take what you have gathered from coincidence.
The empty-handed painter from your streets
Is drawing crazy patterns on your sheets.
This sky, too, is folding under you
And it's all over now, Baby Blue.

All your seasick sailors, they are rowing home.
All your reindeer armies, are all going home.
The lover who just walked out your door
Has taken all his blankets from the floor.
The carpet, too, is moving under you
And it's all over now, Baby Blue.

Leave your stepping stones behind, something calls for you.
Forget the dead you've left, they will not follow you.
The vagabond who's rapping at your door
Is standing in the clothes that you once wore.
Strike another match, go start anew
And it's all over now, Baby Blue."
18647,/bob-dylan/,One More Cup Of Coffee,"Your Breath is sweet, your eyes are like
Two jewels in the sky
Your back is straight your hair is smooth
On the pillow where you lie.
But I don't sense affection
No gratitude or love.
Your loyalty is not me but to the stars above

Chourus :
One more cup of coffee for the road.
One more cup of coffee for I go,
To the valley below.

Your daddy he's an outlaw
And a wanderer by trade.
He'll teach you how to pick an choose
And how to throw the blade.
And he oversees his kingdom
So no stranger does intrude.
His voice it trembles as he calls out
For another plate of food

Chorus

Your sister sees the future
Like your momma and yourself.
You've never learned to read or write
There's no books upon your shelf.
And your pleasure know no limits
Your voice is like a meadow larks.
But your heart is like an ocean
Mysterious and dark.

Chours
"
18648,/bob-dylan/,Gotta Travel On,"Done laid around and stayed around this old town to long
sommers almost gone yeh winters commin on
Done laid around and stayed around this old town to long
and I feel like I gotta travel on

there's a lonesome freight at six'o eight commin through the town
commin through the town yeh I'll be homeward bound
A lonesome freight at six'o eight a commin through the town
but I feel like I gotta travel on

That chilly wind will soon begin but I'll be on my way
I'll be on my way yeh I'll be home to stay
That chilly wind will soon begin and I'll be on my way
But I feel like I gotta travel on

(not sure on next verse)

High Police and Sherriff are commin after me
yeh commin after me yeh commin after me
The high Police and Sherriff are comin after me
and I feel like I gotta travel on

wanna see my honey, wanna see her bad
wanna see my honey, wanna see her bad
she's the best girl a man could ever have

Papa writes to Johnny But Johnny can't come home
Johnny can't come home no Johnny can't come home
Papa writes to Johnny but Johnny can't come home
cause he's been on the chain gaing to long
"
18649,/bob-dylan/,"Don't Think Twice, It's All Right","It ain't no use to sit and wonder why, babe
If you don't know by now
An' it ain't no use to sit and wonder why, babe
It'll never do somehow
When your rooster crows at the break of dawn
Look out your window and I'll be gone
You're the reason I'm travelin' on
But don't think twice, it's all right

And it ain't no use in turnin' on your light, babe
That light I never knowed
An' it ain't no use in turnin' on your light, babe
I'm on the dark side of the road
But I wish there was somethin'
You would do or say
To try and make me change my mind and stay
But we never did too much talkin' anyway
So don't think twice, it's all right

So it ain't no use in callin' out my name, gal
Like you never done before
And it ain't no use in callin' out my name, gal
I can't hear you any more
I'm thinkin' and wonderin', walking down the road
I once loved a woman, a child I'm told
I give her my heart but she wanted my soul
But don't think twice, it's all right

So long, honey babe
Where I'm bound, I can't tell
But goodbye's too good a word, babe
So I'll just say farewell
I ain't sayin' you treated me unkind
You could have done better but I don't mind
You just kind of wasted my precious time
But don't think twice, it's all right"
18650,/bob-dylan/,Don't Fall Apart on Me Tonight,"Just a minute before you leave, girl,
Just a minute before you touch the door.
What is it that you're trying to achieve, girl?
Do you think we can talk about it some more?
You know, the streets are filled with vipers
Who've lost all ray of hope,
You know, it ain't even safe no more
In the palace of the Pope.

Don't fall apart on me tonight,
I just don't think that I could handle it.
Don't fall apart on me tonight,
Yesterday's just a memory,
Tomorrow is never what it's supposed to be
And I need you, yeah.

Come over here from over there, girl,
Sit down here. You can have my chair.
I can't see us goin' anywhere, girl.
The only place open is a thousand miles away and I can't take you there.
I wish I'd have been a doctor,
Maybe I'd have saved some life that had been lost,
Maybe I'd have done some good in the world
'Stead of burning every bridge I crossed.

Don't fall apart on me tonight,
I just don't think that I could handle it.
Don't fall apart on me tonight,
Yesterday's just a memory,
Tomorrow is never what it's supposed to be
And I need you, oh, yeah.

I ain't too good at conversation, girl,
So you might not know exactly how I feel,
But if I could, I'd bring you to the mountaintop, girl,
And build you a house made out of stainless steel.
But it's like I'm stuck inside a painting
That's hanging in the Louvre,
My throat start to tickle and my nose itches
But I know that I can't move.

Don't fall apart on me tonight,
I just don't think that I could handle it.
Don't fall apart on me tonight,
Yesterday's gone but the past lives on,
Tomorrow's just one step beyond
And I need you, oh, yeah.

Who are these people who are walking towards you?
Do you know them or will there be a fight?
With their humorless smiles so easy to see through,
Can they tell you what's wrong from what's right?

Do you remember St. James Street
Where you blew Jackie P.'s mind?
You were so fine, Clark Gable would have fell at your feet
And laid his life on the line.

Let's try to get beneath the surface waste, girl,
No more booby traps and bombs,
No more decadence and charm,
No more affection that's misplaced, girl,
No more mudcake creatures lying in your arms.
What about that millionaire with the drumsticks in his pants?
He looked so baffled and so bewildered
When he played and we didn't dance.

Don't fall apart on me tonight,
I just don't think that I could handle it.
Don't fall apart on me tonight,
Yesterday's just a memory,
Tomorrow is never what it's supposed to be
And I need you, yeah.
"
18651,/bob-dylan/,Jokerman,"Standing on the waters casting your bread
While the eyes of the idol with the iron head are glowing.
Distant ships sailing into the mist,
You were born with a snake in both of your fists while a hurricane was blowing.
Freedom just around the corner for you
But with the truth so far off, what good will it do?

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh, oh, oh, Jokerman.

So swiftly the sun sets in the sky,
You rise up and say goodbye to no one.
Fools rush in where angels fear to tread,
Both of their futures, so full of dread, you don't show one.
Shedding off one more layer of skin,
Keeping one step ahead of the persecutor within.

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh, oh, oh, Jokerman.

You're a man of the mountains, you can walk on the clouds,
Manipulator of crowds, you're a dream twister.
You're going to Sodom and Gomorrah
But what do you care? Ain't nobody there would want to marry your sister.
Friend to the martyr, a friend to the woman of shame,
You look into the fiery furnace, see the rich man without any name.

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh, oh, oh, Jokerman.

Well, the Book of Leviticus and Deuteronomy,
The law of the jungle and the sea are your only teachers.
In the smoke of the twilight on a milk-white steed,
Michelangelo indeed could've carved out your features.
Resting in the fields, far from the turbulent space,
Half asleep near the stars with a small dog licking your face.

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh. oh. oh. Jokerman.

Well, the rifleman's stalking the sick and the lame,
Preacherman seeks the same, who'll get there first is uncertain.
Nightsticks and water cannons, tear gas, padlocks,
Molotov cocktails and rocks behind every curtain,
False-hearted judges dying in the webs that they spin,
Only a matter of time 'til night comes steppin' in.

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh, oh, oh, Jokerman.

It's a shadowy world, skies are slippery gray,
A woman just gave birth to a prince today and dressed him in scarlet.
He'll put the priest in his pocket, put the blade to the heat,
Take the motherless children off the street
And place them at the feet of a harlot.
Oh, Jokerman, you know what he wants,
Oh, Jokerman, you don't show any response.

Jokerman dance to the nightingale tune,
Bird fly high by the light of the moon,
Oh, oh, oh, Jokerman.


"
18652,/bob-dylan/,Make You Feel My Love,"When the rain is blowing in your face
And the whole world is on your case
I could offer you a warm embrace
To make you feel my love

When the evening shadows and the stars appear
And there is no one there to dry your tears
I could hold you for a million years
To make you feel my love

I know you haven't made your mind up yet
But I would never do you wrong
I've known it from the moment that we met
No doubt in my mind where you belong

I'd go hungry, I'd go black and blue
I'd go crawling down the avenue
There's nothing that I wouldn't do
To make you feel my love

The storms are raging on the rollin' sea
And on the highway of regret
The winds of change are blowing wild and free
You ain't seen nothing like me yet

I could make you happy, make your dreams come true
Nothing that I wouldn't do
Go to the ends of the earth for you
To make you feel my love
"
18653,/bob-dylan/,Wigwam,Instrumental
18654,/bob-dylan/,When You Gonna Wake Up?,"God don't make no promises that He don't keep.
You got some big dreams, baby, but in order to dream you gotta still be asleep.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

Counterfeit philosophies have polluted all of your thoughts.
Karl Marx has got ya by the throat, Henry Kissinger's got you tied up in knots.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

You got innocent men in jail, your insane asylums are filled,
You got unrighteous doctors dealing drugs that'll never cure your ills.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

You got men who can't hold their peace and women who can't control their tongues,
The rich seduce the poor and the old are seduced by the young.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

Adulterers in churches and pornography in the schools,
You got gangsters in power and lawbreakers making rules.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

Spiritual advisors and gurus to guide your every move,
Instant inner peace and every step you take has got to be approved.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

Do you ever wonder just what God requires?
You think He's just an errand boy to satisfy your wandering desires.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

You can't take it with you and you know that it's too worthless to be sold,
They tell you, ""Time is money"" as if your life was worth its weight in gold.

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?

There's a Man up on a cross and He's been crucified.
Do you have any idea why or for who He died?

When you gonna wake up, when you gonna wake up
When you gonna wake up and strengthen the things that remain?
"
18655,/bob-dylan/,A Hard Rain's A-Gonna Fall,"Oh, where have you been, my blue-eyed son?
Oh, where have you been, my darling young one?
I've stumbled on the side of twelve misty mountains,
I've walked and I've crawled on six crooked highways,

I've stepped in the middle of seven sad forests,
I've been out in front of a dozen dead oceans,
I've been ten thousand miles
in the mouth of a graveyard,
And it's a hard, and it's a hard,
it's a hard, and it's a hard,
And it's a hard rain's gonna fall.

Oh, what did you see, my blue-eyed son?
Oh, what did you see, my darling young one?
I saw a newborn baby
with wild wolves all around it
I saw a highway of diamonds with nobody on it,
I saw a black branch with blood that kept drippin',
I saw a room full of men
with their hammers a-bleedin',
I saw a white ladder all covered with water,
I saw ten thousand talkers
whose tongues were all broken,
I saw guns and sharp swords
in the hands of young children,
And it's a hard, and it's a hard, it's a hard, it's a hard,
And it's a hard rain's gonna fall.

And what did you hear, my blue-eyed son?
And what did you hear, my darling young one?
I heard the sound of a thunder,
it roared out a warnin',
Heard the roar of a wave
that could drown the whole world,
Heard one hundred drummers
whose hands were a-blazin',
Heard ten thousand whisperin' and nobody listenin',
Heard one person starve,
I heard many people laughin',
Heard the song of a poet who died in the gutter,
Heard the sound of a clown who cried in the alley,
And it's a hard, and it's a hard,
it's a hard, it's a hard,
And it's a hard rain's gonna fall.

Oh, who did you meet, my blue-eyed son?
Who did you meet, my darling young one?
I met a young child beside a dead pony,
I met a white man
who walked a black dog,
I met a young woman whose body was burning,
I met a young girl, she gave me a rainbow,
I met one man who was wounded in love,
I met another man who was wounded with hatred,
And it's a hard, it's a hard,
it's a hard, it's a hard,
It's a hard rain's gonna fall.

Oh, what'll you do now, my blue-eyed son?
Oh, what'll you do now, my darling young one?
I'm a-goin' back out 'fore the rain starts a-fallin',
I'll walk to the depths of the deepest black forest,
Where the people are many
and their hands are all empty,
Where the pellets of poison are flooding their waters,
Where the home in the valley
meets the damp dirty prison,
Where the executioner's face is always well hidden,
Where hunger is ugly, where souls are forgotten,
Where black is the color, where none is the number,
And I'll tell it and think it and speak it and breathe it,
And reflect it from the mountain
so all souls can see it,
Then I'll stand on the ocean until I start sinkin',
But I'll know my song well before I start singin',
And it's a hard, it's a hard, it's a hard, it's a hard,
It's a hard rain's gonna fall."
18656,/bob-dylan/,I Pity the Poor Immigrant,"I pity the poor immigrant
Who wishes he would've stayed home,
Who uses all his power to do evil
But in the end is always left so alone.
That man whom with his fingers cheats
And who lies with ev'ry breath,
Who passionately hates his life
And likewise, fears his death.

I pity the poor immigrant
Whose strength is spent in vain,
Whose heaven is like Ironsides,
Whose tears are like rain,
Who eats but is not satisfied,
Who hears but does not see,
Who falls in love with wealth itself
And turns his back on me.

I pity the poor immigrant
Who tramples through the mud,
Who fills his mouth with laughing
And who builds his town with blood,
Whose visions in the final end
Must shatter like the glass.
I pity the poor immigrant
When his gladness comes to pass.
"
