treat,age,hisp,black,married,educ,nodegr,re19,re20,re22
0,24,1,0,1,8.8,1,54311,54218,45302
0,50,1,1,0,6.8,0,32527,33066,42051
0,58,0,1,0,11.0,0,57684,55866,38604
1,34,1,0,1,12.8,0,21388,21683,45944
0,56,0,0,0,7.0,0,45781,45829,42854
1,46,0,0,0,9.0,0,44868,44971,48812
0,42,0,0,0,11.0,1,47159,47656,41595
1,23,0,0,1,9.0,0,24584,23944,42961
0,35,0,0,1,9.0,0,36461,35601,45252
1,47,0,0,0,8.0,0,39520,40268,48427
0,33,0,1,1,11.0,0,51778,50997,37986
1,21,1,1,0,8.8,0,49367,50825,38418
0,37,1,1,1,10.8,0,36200,38310,45568
1,45,0,0,1,10.0,0,27088,26208,40717
0,32,1,0,1,10.8,0,57351,56786,44194
1,36,1,0,1,10.8,0,47077,45695,42851
1,41,0,1,0,11.0,0,20876,21597,50053
0,38,0,1,1,13.0,0,25414,26917,34536
0,27,1,0,1,8.8,0,37717,37104,38676
1,27,1,1,1,7.8,0,45972,45364,46613
0,27,1,0,1,8.8,0,33707,32077,43475
1,45,0,0,0,11.0,0,58067,59632,36414
1,60,0,0,1,8.0,0,45845,44494,41881
0,25,0,0,1,13.0,1,53692,55552,36918
0,32,0,0,0,13.0,0,50959,50346,43587
0,22,1,0,1,10.8,0,58506,57488,44512
0,55,0,0,1,12.0,0,21987,21470,41321
0,41,1,0,1,7.8,0,29930,29977,38080
0,29,0,0,1,10.0,0,43175,43641,32207
1,62,1,0,1,9.8,0,24129,22915,48353
1,59,1,1,1,7.8,0,45500,44400,40957
0,57,0,0,0,12.0,0,34731,34021,42135
1,24,1,0,1,11.8,0,55629,56505,43485
1,20,0,0,1,10.0,0,36962,36144,42943
1,57,0,1,1,11.0,0,38583,39927,43967
0,25,0,1,1,11.0,0,58120,57868,38415
1,24,0,0,1,10.0,0,47249,49363,42784
0,45,1,0,0,11.8,0,53718,54057,35478
1,47,0,0,0,12.0,0,42437,42304,44344
0,37,0,0,1,10.0,0,57955,57233,51307
1,24,1,1,1,12.8,0,35609,34181,48529
1,32,0,0,0,13.0,0,58372,58898,43395
0,59,0,0,0,8.0,0,32441,32303,55596
1,63,0,0,0,10.0,0,20058,18451,50000
0,55,0,1,0,10.0,0,59956,61094,49023
0,60,0,0,1,11.0,0,49932,49755,44601
0,25,0,1,1,12.0,1,41582,41270,44735
1,37,0,1,0,11.0,1,31823,32155,43955
0,39,1,1,1,8.8,0,51228,52524,38394
0,39,1,0,1,9.8,0,20081,19108,41270
0,32,1,1,1,9.8,0,35757,35781,44616
1,19,0,0,1,12.0,0,51594,50698,43775
1,61,0,0,0,9.0,0,37016,37189,47497
0,45,0,0,1,7.0,0,31961,32342,37374
1,51,0,0,0,7.0,0,42823,43995,51095
1,48,0,0,1,10.0,0,42615,42817,42947
0,61,0,1,0,8.0,0,35739,35136,38663
1,27,1,0,1,9.8,0,26316,26740,44349
0,62,0,0,1,9.0,0,36094,35578,48912
0,44,0,0,0,9.0,0,26551,26543,36083
0,31,1,0,1,12.8,0,21799,24163,48138
1,37,0,0,1,11.0,0,40312,40307,45158
0,43,0,0,1,12.0,0,23104,23796,39070
1,40,0,1,1,12.0,0,44842,44346,43928
0,64,0,0,0,9.0,0,55519,54980,40191
0,35,0,0,0,13.0,0,57969,57396,43547
1,57,0,0,0,9.0,0,34482,35346,50742
1,34,0,0,1,9.0,0,34875,36233,37035
0,60,0,0,0,12.0,0,22325,22954,40611
0,20,1,0,1,8.8,0,37568,37196,37744
1,44,0,0,0,10.0,0,41319,41648,44960
1,35,0,0,0,8.0,0,54877,53697,40496
0,22,1,1,1,6.8,0,52649,52379,41096
1,44,0,0,1,12.0,0,25608,23264,43404
0,52,1,0,0,7.8,0,52281,51840,36395
1,29,0,1,1,13.0,0,49344,50984,50834
0,36,0,0,0,7.0,0,53672,53635,40849
1,45,1,0,1,7.8,0,25376,24246,46537
1,52,0,0,0,10.0,0,34675,35699,47822
0,55,0,1,0,13.0,0,38152,38887,38775
0,61,0,0,0,7.0,0,22025,22725,42701
1,37,0,0,0,7.0,0,38102,35580,44545
1,49,1,0,1,10.8,0,27558,27736,38594
0,49,0,1,0,8.0,0,27560,25836,45582
0,48,0,0,1,9.0,0,52066,52463,43572
0,56,0,0,1,8.0,0,26135,26239,42849
1,39,0,0,0,10.0,0,34224,33797,44795
0,30,0,0,1,12.0,1,43933,44100,38581
0,64,0,1,0,12.0,0,37511,38828,45814
0,32,0,0,1,10.0,1,37879,40364,37047
0,47,0,1,0,10.0,0,36896,38026,44541
1,25,0,0,1,8.0,1,42659,43088,43037
1,49,1,0,0,7.8,0,34038,34276,53835
1,35,0,1,1,7.0,0,34070,34397,40588
1,52,0,0,0,10.0,0,51642,51884,44324
1,30,1,0,1,7.8,0,45851,46596,40817
0,57,1,0,0,9.8,0,46365,46742,42219
0,59,1,0,0,11.8,0,58270,59474,44643
0,24,1,0,1,6.8,0,48830,47493,41594
0,46,1,0,0,11.8,0,41618,41350,43688
0,22,0,1,0,9.0,0,50560,50483,46671
0,61,0,0,0,9.0,0,37418,39557,42407
0,63,1,1,0,11.8,0,52681,53286,42202
0,54,1,0,0,10.8,0,54581,54491,42482
0,55,0,1,0,8.0,0,34445,35985,37853
0,54,1,1,0,12.8,0,25884,26563,39856
1,19,0,1,1,10.0,0,38469,38942,44761
0,53,0,0,0,8.0,0,49010,50829,39795
1,25,1,0,1,12.8,0,36445,36032,40561
0,61,0,0,1,8.0,0,20054,18902,39977
0,33,0,0,1,9.0,0,43486,41594,47878
1,46,0,1,0,11.0,0,26290,27174,49969
1,18,0,0,1,8.0,1,53992,55528,41724
0,39,1,0,0,11.8,1,42160,43223,41042
1,49,1,0,1,6.8,0,42889,42840,38447
1,46,0,0,1,9.0,0,42079,40912,51138
1,61,1,0,0,11.8,0,24827,26526,45251
1,28,0,0,1,7.0,0,26817,26204,34803
1,32,0,1,0,13.0,0,56041,55285,40830
0,19,1,1,1,9.8,0,37206,35659,39909
0,59,1,1,0,9.8,0,33268,32470,40148
1,59,0,0,1,7.0,0,29849,29743,41589
1,52,0,0,0,10.0,0,55104,55373,46730
0,22,0,1,1,10.0,1,57750,58359,47005
0,22,1,0,1,6.8,0,20519,19106,42656
0,26,0,0,1,10.0,0,55849,58034,39771
0,20,0,0,0,12.0,1,50666,50436,32314
0,27,0,1,1,12.0,0,40174,39894,47839
0,62,0,0,0,7.0,0,50574,48840,42586
0,54,0,1,1,12.0,0,20516,18358,39635
0,49,0,0,0,8.0,0,20035,19422,43463
0,63,0,1,0,7.0,0,45923,46067,45478
1,53,1,1,1,6.8,0,58194,57957,46840
0,44,0,0,1,11.0,0,26664,25456,45184
1,41,0,0,0,11.0,1,43877,43302,30934
1,47,0,0,0,11.0,0,58963,59268,41972
0,59,0,1,0,7.0,0,21759,22851,46529
1,20,0,0,1,9.0,0,28700,28369,41090
1,58,0,1,0,7.0,0,38272,37389,46377
1,18,0,0,1,10.0,0,29188,29101,45194
0,58,1,0,0,8.8,0,56359,56150,44009
0,43,1,1,1,8.8,0,29519,28617,41020
0,62,0,0,0,8.0,0,22399,22919,34760
1,31,0,1,1,7.0,0,32298,30679,43555
0,38,1,1,1,9.8,1,20043,18504,40620
1,50,1,1,1,10.8,0,45359,44945,47208
1,49,1,0,1,11.8,0,47653,47414,40230
1,36,0,0,1,11.0,0,30909,31568,40110
0,55,1,0,1,7.8,0,30099,29420,37312
1,44,0,0,0,12.0,0,25706,27323,46444
1,51,0,0,1,9.0,0,20575,19147,39690
0,64,0,0,0,10.0,0,40327,41130,45033
0,21,0,1,1,10.0,0,43203,40809,40767
0,57,0,0,0,13.0,0,51574,50692,47650
0,18,0,0,1,11.0,0,29141,27589,40868
0,31,0,0,1,13.0,0,57421,58231,50234
1,34,1,0,1,10.8,0,22915,21658,39767
0,28,1,1,1,12.8,0,36837,36477,40301
0,58,0,0,0,13.0,0,32170,32960,42998
0,42,0,0,0,12.0,0,41164,40917,35055
1,62,0,1,1,9.0,0,21538,21915,41224
0,40,0,0,0,11.0,0,51054,50354,44654
1,45,0,1,0,8.0,0,47333,48218,44358
0,42,0,0,1,9.0,0,27547,28053,49810
0,41,1,0,0,12.8,0,52000,50693,40928
1,39,0,0,0,11.0,0,32109,29824,46504
0,20,1,0,1,11.8,0,55609,54334,36909
1,27,0,0,1,10.0,0,26854,25645,50204
1,36,0,0,0,13.0,0,30747,31803,36098
0,23,0,0,1,8.0,0,48832,49534,38290
1,64,0,0,0,10.0,0,32812,33211,46275
1,58,0,0,0,11.0,0,52349,52555,48715
0,26,0,0,1,8.0,0,49832,51040,39111
0,43,0,1,0,11.0,0,53590,54364,40344
1,35,0,1,1,11.0,0,38545,37499,45650
1,44,1,0,0,11.8,0,58348,56972,44409
0,62,0,0,0,8.0,0,28486,27412,40743
0,54,0,0,1,13.0,0,41087,40667,42574
0,59,1,1,0,12.8,0,34258,32641,41243
0,32,0,0,1,8.0,0,27289,27712,48732
1,39,1,0,1,6.8,0,58604,59758,43796
0,30,1,0,1,11.8,0,22873,22378,40405
1,39,0,0,1,11.0,0,45528,46236,52300
0,28,0,1,1,7.0,0,24308,24531,42809
1,20,0,0,1,9.0,0,45010,46421,40940
0,40,0,0,1,8.0,0,30984,32325,44313
0,19,0,1,1,8.0,0,50803,50021,37022
1,60,0,0,1,11.0,0,57706,58791,38825
0,54,0,0,1,7.0,0,23171,22705,36753
1,34,0,1,1,10.0,0,29200,29483,43626
0,64,0,0,0,13.0,0,28841,28720,52206
0,59,1,1,0,12.8,0,36611,36782,42658
1,37,1,1,1,11.8,0,56641,57475,44571
1,30,1,1,0,12.8,0,37268,36905,41442
0,49,0,0,1,9.0,0,32965,32778,36695
1,34,1,0,1,10.8,0,34801,36439,52763
0,59,0,0,0,8.0,0,54934,55893,42060
1,30,0,0,0,11.0,0,48885,47787,38085
0,33,0,0,1,12.0,0,26562,26510,47764
1,64,0,0,0,7.0,0,25115,24964,46483
1,55,0,0,0,10.0,1,32125,32102,41666
1,45,1,0,1,7.8,0,55966,55260,43637
1,28,1,1,1,11.8,0,46765,45433,35436
1,37,1,0,0,10.8,0,56252,55487,43379
0,25,0,0,1,7.0,1,46571,48949,44723
1,19,0,0,1,12.0,1,21804,21624,43025
1,41,0,0,0,13.0,0,49741,50874,49675
1,29,1,0,1,8.8,0,34547,34496,36560
0,21,0,1,1,13.0,0,32434,34333,43991
1,31,1,0,1,6.8,0,21849,23895,39863
0,47,0,0,1,8.0,0,35031,36300,40839
1,55,0,0,0,10.0,0,53496,53384,41612
0,62,0,0,0,8.0,0,42840,42051,38484
0,34,0,1,1,11.0,0,27429,27479,36701
1,50,0,0,1,11.0,0,22699,22106,35856
0,46,0,0,0,9.0,0,55550,53840,39398
0,41,0,1,0,13.0,0,50820,52088,42229
1,35,0,0,1,12.0,0,29169,28871,42244
0,44,1,0,0,7.8,0,57088,59492,42233
0,19,1,1,1,9.8,0,24086,23687,40113
1,41,0,0,0,11.0,0,53644,52899,40231
1,39,0,0,0,11.0,0,59141,56937,45356
1,40,0,0,1,8.0,0,30537,29958,45370
0,29,1,1,1,8.8,0,47192,46155,41633
1,48,1,0,0,6.8,0,33712,32773,39677
0,22,0,0,1,9.0,0,37970,38524,42669
0,18,0,0,1,12.0,0,21943,21830,43908
0,41,0,0,1,12.0,0,27678,28715,44774
0,29,0,1,1,13.0,0,42681,42786,47934
0,63,0,0,1,10.0,0,20760,21618,41773
0,18,0,0,1,13.0,0,30706,29566,36564
1,32,0,1,1,13.0,0,44738,42449,36270
0,45,0,1,0,8.0,0,56122,54628,46130
0,20,1,0,1,12.8,0,30071,28652,41174
0,64,0,1,0,13.0,0,32750,33273,46305
1,26,0,0,1,8.0,0,45291,45060,51747
1,42,0,0,0,10.0,0,49249,48680,43069
1,34,0,1,1,12.0,0,48528,47707,42692
1,58,0,1,0,11.0,0,53312,54803,47423
1,31,0,1,1,10.0,0,44060,43458,41124
0,21,0,0,1,10.0,1,39866,38931,45212
1,60,1,0,1,7.8,0,24792,26053,50932
1,39,0,0,0,12.0,0,25533,24683,42962
1,41,0,0,0,8.0,0,58760,58037,49822
0,64,0,0,0,13.0,0,24184,25533,43867
0,64,0,1,1,10.0,0,33761,35213,47070
1,54,0,0,0,12.0,0,45038,45529,47085
1,50,0,1,0,8.0,0,48244,47578,46408
1,49,0,0,0,10.0,0,29810,30710,44521
0,33,1,0,1,11.8,0,37966,37658,46674
1,49,0,0,0,13.0,0,55718,56055,45971
1,27,0,0,1,9.0,0,40290,41072,40383
0,50,0,0,0,11.0,0,58859,58026,42156
1,49,0,0,0,11.0,0,26775,25305,44744
1,57,0,0,0,11.0,0,26121,26415,39138
0,39,0,0,0,10.0,0,36254,35310,42825
0,44,0,0,1,7.0,0,43024,44615,35784
0,33,1,1,1,7.8,0,34307,35215,39072
0,58,0,0,1,8.0,0,28556,26231,43557
1,35,0,0,0,7.0,1,32074,31616,45259
0,63,1,1,0,10.8,0,32173,32124,39851
0,26,0,1,1,7.0,0,40493,40123,37085
0,20,0,0,1,13.0,1,59022,58923,36450
1,35,1,1,1,11.8,0,53492,54498,50686
1,30,0,1,1,8.0,0,29309,29774,39422
1,51,0,1,0,7.0,0,21007,20372,43187
1,37,0,0,1,7.0,0,52492,51180,48359
0,24,1,0,1,9.8,0,49587,51318,36482
0,21,0,0,1,7.0,0,20769,20047,40452
0,36,0,1,0,7.0,0,58570,57688,41168
1,44,1,1,0,10.8,0,57425,59359,45650
0,21,1,0,1,6.8,0,28598,28068,43938
0,20,0,0,1,9.0,0,35741,35765,44160
0,26,0,0,1,7.0,0,25972,25711,41290
1,26,0,0,1,11.0,0,21126,20050,43017
0,63,1,0,1,8.8,0,27415,28104,39673
0,20,1,0,1,11.8,0,46382,44554,36551
0,19,1,1,1,9.8,1,33321,33349,35957
0,50,0,0,1,12.0,0,26953,28610,42975
0,48,1,0,1,8.8,1,46602,45893,40487
0,51,0,0,1,7.0,0,21610,21786,43339
0,51,0,0,1,7.0,0,56152,54738,41419
1,53,0,0,0,12.0,0,55375,54696,47800
1,46,0,0,0,12.0,0,31096,29599,46167
0,20,0,0,1,13.0,0,53377,53703,45047
1,47,0,0,1,13.0,0,21444,23391,48250
1,48,0,0,1,10.0,0,37777,37136,45350
1,26,1,0,1,6.8,1,59823,59714,45209
1,36,0,0,1,9.0,0,33083,33567,37144
0,48,0,1,0,12.0,0,26625,27659,44851
0,46,0,0,1,8.0,0,24127,24562,38988
0,25,1,0,1,12.8,0,54400,54967,41479
0,28,0,0,1,13.0,0,34585,35812,39247
1,38,0,0,1,9.0,0,51123,50090,48010
1,31,0,0,1,7.0,0,56571,57546,44375
0,64,1,0,0,10.8,0,58270,59040,48901
0,58,0,1,1,10.0,0,29266,27933,37433
1,49,0,1,0,11.0,0,59453,59590,41035
0,64,0,1,0,10.0,0,49999,50474,46128
1,34,0,0,1,9.0,0,22173,22273,40709
0,37,0,0,0,9.0,0,48859,47426,42715
1,42,0,0,1,10.0,0,56141,55103,48747
0,62,0,0,0,11.0,0,33129,31914,48624
0,19,0,0,1,11.0,1,59086,59690,39169
1,31,1,0,1,8.8,0,50235,52420,39543
1,38,0,1,1,10.0,0,44087,44183,35926
0,63,0,0,1,11.0,0,37232,36233,41526
1,50,0,0,0,11.0,0,55946,57239,40745
0,41,0,0,0,13.0,0,42736,42621,34728
1,47,0,0,0,10.0,0,52619,53073,48526
1,38,0,0,1,11.0,0,21834,21778,42964
0,40,0,0,1,9.0,0,40928,41183,44975
1,48,0,0,0,7.0,0,24376,25318,40092
1,21,0,0,0,11.0,0,45878,47374,45763
0,62,1,0,0,9.8,0,39403,37449,46036
1,50,0,1,0,12.0,0,50955,51909,45119
0,22,0,0,1,8.0,0,36251,35941,46418
0,54,1,0,0,9.8,0,44076,43280,32921
1,27,0,0,1,8.0,0,57460,56956,38726
0,23,1,0,1,12.8,1,45347,44914,39377
0,40,0,0,0,10.0,0,27480,28171,48762
1,51,0,1,0,8.0,0,58598,58306,41797
1,33,0,0,1,9.0,1,34296,34710,47281
0,25,0,0,1,12.0,0,39503,38927,39401
1,41,0,0,0,11.0,0,53274,54147,47652
0,48,0,0,0,12.0,0,44277,44505,46895
0,41,0,0,1,9.0,0,46778,47830,40163
0,58,1,0,1,8.8,0,26227,28091,45194
1,58,0,0,0,13.0,0,37130,36750,42683
0,48,0,0,1,11.0,0,36673,36678,39800
1,55,0,1,0,9.0,0,26907,26173,45174
0,25,1,1,1,7.8,1,59963,59508,42021
0,34,0,1,1,9.0,0,54858,54210,35656
1,46,0,0,1,9.0,0,27673,27943,37744
1,43,1,1,0,11.8,0,53462,54866,51218
1,53,0,0,0,13.0,0,47849,47366,46889
0,38,0,0,1,13.0,0,53630,53914,43238
1,41,1,1,1,11.8,0,37528,36734,45740
1,26,0,0,1,9.0,0,32241,33409,37629
0,43,0,0,0,10.0,0,59549,58774,40145
0,26,0,0,1,11.0,0,33030,33340,39355
0,38,0,1,0,13.0,0,25066,25518,47426
0,33,1,0,1,7.8,0,27339,25484,38302
1,46,0,0,1,13.0,0,41646,41052,45594
0,28,0,1,1,13.0,0,32612,32247,46919
0,21,0,1,1,11.0,0,26694,27449,43709
1,46,0,1,0,12.0,0,49324,48890,42493
1,47,0,1,0,10.0,0,58338,58035,43471
0,20,1,0,1,8.8,0,22572,23188,42090
1,54,1,0,0,9.8,0,55367,54755,49653
0,38,0,1,1,10.0,0,38856,39135,39164
0,21,1,0,1,6.8,0,34233,33042,31122
0,64,0,0,0,10.0,0,43892,44151,45074
0,32,0,0,1,8.0,0,53360,52713,38837
0,43,0,0,1,13.0,0,43919,43358,43170
1,47,0,1,1,13.0,0,32285,32525,39938
0,49,0,0,1,9.0,0,20742,20141,42859
1,43,0,0,1,8.0,0,36990,36657,41379
1,38,0,1,0,13.0,0,39958,40330,44618
1,31,1,1,1,7.8,0,44439,45242,47871
0,20,0,1,1,7.0,1,39717,39258,40083
0,51,0,0,1,10.0,0,55977,56141,39964
1,59,0,0,0,7.0,0,54673,55139,42649
0,21,1,0,1,10.8,0,33027,33053,38600
1,59,1,0,0,7.8,0,33435,34169,36546
1,63,0,1,0,11.0,0,49532,48404,47101
0,47,1,0,1,11.8,0,45778,45344,48065
0,27,1,1,1,12.8,1,36263,38732,40115
0,62,0,0,0,9.0,0,34207,35328,46221
0,61,0,0,0,7.0,0,55667,56084,44967
1,36,0,1,1,11.0,0,37828,38421,45361
1,39,0,1,1,9.0,0,50122,50930,42224
1,58,0,0,0,11.0,0,43857,43758,42653
0,36,0,0,1,12.0,0,20272,20233,42117
0,58,0,0,0,10.0,0,48386,47905,52133
1,64,0,0,0,13.0,0,31035,32551,44372
0,30,0,1,1,12.0,0,30880,29918,42387
1,40,0,1,1,7.0,0,54967,54773,35904
0,47,1,0,0,11.8,0,31613,33061,44609
1,26,1,0,0,9.8,0,41993,42645,46578
0,57,0,0,0,11.0,0,53450,52619,41227
0,25,0,1,1,10.0,0,51826,50711,41396
0,27,0,0,0,7.0,0,38990,39604,41332
0,52,0,1,0,7.0,0,58483,58801,42808
1,37,0,1,1,8.0,1,40264,41073,46710
1,44,0,0,1,11.0,1,30702,31762,40613
1,45,0,1,1,7.0,0,56414,56189,47406
0,26,0,0,1,11.0,1,49635,48253,36778
0,36,0,0,1,11.0,0,40066,39819,49206
1,28,1,0,1,10.8,0,31265,30286,40394
0,41,0,0,0,13.0,0,54706,53741,36461
1,22,0,0,1,10.0,0,37549,38655,40838
1,48,0,1,1,7.0,0,53776,52782,44693
1,60,1,0,1,8.8,0,58892,59717,45506
1,41,0,0,0,12.0,0,34951,35229,39384
0,63,0,0,0,13.0,0,54725,53523,40922
0,32,1,1,1,11.8,0,31328,32419,48705
1,62,0,1,1,8.0,0,27221,28532,43975
1,40,0,0,1,9.0,0,42154,42669,43618
1,63,1,1,0,11.8,0,32223,32662,38204
1,29,1,0,1,10.8,0,58353,58063,43104
0,25,0,0,1,7.0,0,25268,24602,44531
0,33,1,0,0,9.8,0,36133,37477,43409
1,50,1,1,0,6.8,0,39002,38277,47116
1,26,1,1,1,11.8,0,38722,38649,49734
0,53,1,1,1,8.8,0,55190,56162,40581
1,58,1,0,0,10.8,0,57632,57437,44363
0,34,0,1,1,7.0,1,21239,19769,39763
0,61,1,0,0,12.8,0,35891,37912,44884
0,53,0,0,0,11.0,0,30642,31159,41352
1,25,0,0,1,13.0,1,51804,51057,48694
1,44,0,0,0,11.0,0,42466,43996,43017
1,22,0,0,1,7.0,0,34445,34584,39338
1,19,0,0,1,10.0,0,54259,53114,45398
1,44,0,0,0,10.0,0,59158,59931,39705
1,28,1,0,1,9.8,0,31753,30841,42654
1,24,0,0,1,13.0,0,22146,21272,42132
1,58,0,1,0,13.0,0,41521,41766,41667
0,39,0,0,1,13.0,0,36562,37303,51928
0,27,0,1,1,12.0,1,41204,40986,47823
0,64,0,0,1,7.0,0,23274,23788,38994
1,21,1,0,1,6.8,0,41099,42510,40044
0,29,0,1,1,8.0,0,22536,22018,39509
1,24,1,0,1,12.8,0,53050,53131,35139
0,46,1,1,1,12.8,0,37935,36959,45514
1,59,0,0,0,11.0,0,56635,57667,41374
0,25,0,1,1,12.0,0,40132,41148,39309
0,55,0,1,0,10.0,0,22244,22454,36170
1,26,0,0,0,7.0,0,49275,48279,38427
1,27,0,1,1,11.0,0,40106,40476,41347
0,57,0,0,0,9.0,0,50798,50625,45726
0,39,0,0,1,10.0,0,52631,53923,40789
1,36,0,1,0,8.0,0,47487,47729,41970
1,28,0,1,0,7.0,0,31452,32275,42754
0,42,0,0,0,7.0,0,38757,38894,40741
1,34,0,0,0,7.0,0,40452,40883,44359
0,25,0,0,1,7.0,0,26514,25148,38492
1,57,0,1,1,8.0,0,39009,40361,41686
0,53,1,1,0,12.8,0,52549,53276,39370
1,40,0,1,0,10.0,0,58579,58623,41360
1,43,0,0,0,10.0,0,50367,49208,42056
0,45,0,0,1,12.0,0,35614,35978,52576
0,52,1,1,0,11.8,0,50704,50404,40579
0,45,1,1,1,8.8,0,26689,27173,37011
1,35,0,0,0,13.0,0,24899,25349,44048
1,20,0,1,1,8.0,0,29624,28837,35345
1,51,0,1,0,10.0,0,32968,33292,54519
0,40,0,0,1,12.0,0,37755,38096,44090
1,28,0,1,0,8.0,0,42498,42779,39433
0,34,0,0,0,10.0,0,56454,56347,38478
1,43,0,0,1,11.0,0,37047,38237,40608
1,58,0,0,0,11.0,0,53689,53570,45088
0,45,1,0,0,8.8,0,49265,50243,41355
1,24,1,0,1,7.8,1,25292,25363,42250
1,32,1,0,1,6.8,0,45600,47688,45798
1,48,0,0,0,8.0,1,56143,54215,37547
0,31,0,0,1,12.0,0,51855,51977,47389
0,26,1,1,1,8.8,0,53423,52776,41390
1,51,0,0,1,10.0,0,38375,41005,40474
1,45,0,0,1,11.0,0,25433,25250,54674
1,46,0,0,1,8.0,0,28602,29258,38679
1,21,0,0,0,10.0,0,50499,48753,51604
0,26,0,0,1,13.0,0,55510,54268,39191
1,39,1,0,1,10.8,0,47381,47098,45749
1,55,1,0,0,9.8,0,28937,29135,37016
1,61,0,1,0,10.0,0,42696,42262,39365
0,29,1,0,1,6.8,1,27717,29547,39488
1,42,0,1,0,9.0,0,52000,51620,51246
0,21,0,0,1,12.0,1,40689,39185,40438
1,45,1,0,1,10.8,0,34881,34485,48258
1,62,0,0,0,8.0,0,42367,42449,43650
1,59,0,1,0,11.0,0,58262,57120,32899
1,57,0,1,1,12.0,0,56733,57062,46193
1,52,1,1,0,6.8,0,42625,41314,45241
0,32,1,0,1,9.8,0,20569,18730,32909
1,56,0,1,1,11.0,0,40383,40105,45891
1,53,0,0,0,13.0,0,32591,32997,53724
0,62,0,1,0,11.0,0,53011,52578,46028
0,30,0,1,1,11.0,0,40044,42394,40444
0,20,0,1,1,13.0,0,32080,33510,45808
0,40,1,1,1,9.8,0,45447,45182,37022
0,61,0,0,1,7.0,0,59909,60317,43681
1,39,1,0,1,7.8,0,32503,30468,42287
0,53,0,0,0,10.0,0,53996,55476,42047
0,25,0,0,1,10.0,0,59226,58116,37881
0,50,0,1,0,12.0,0,42639,41311,41566
0,32,0,1,1,13.0,0,28119,27969,42421
1,34,0,0,0,10.0,0,57538,57108,40618
0,23,0,0,1,10.0,0,36634,37613,36540
0,54,0,1,0,8.0,0,38721,39734,36437
0,61,0,1,0,9.0,0,35931,35951,46381
1,29,0,1,1,8.0,0,20943,23299,39844
1,64,0,0,0,8.0,0,37344,36278,43284
0,62,0,0,0,13.0,0,20929,21226,40426
1,50,0,1,0,12.0,0,48486,46726,41293
1,55,0,1,1,10.0,0,30929,32177,40600
1,36,1,0,1,7.8,0,41290,40648,41010
0,56,0,0,0,8.0,0,46153,46038,42700
0,18,1,0,1,10.8,1,53140,52100,38049
0,35,0,1,1,11.0,0,33539,33548,40010
0,39,0,1,1,9.0,0,35197,35598,42823
1,45,0,0,1,10.0,0,27381,27585,39333
1,36,0,1,0,7.0,0,56993,56216,37908
